Dataset,n_estimators,max_depth,MAPE,RMSE,MAE,R2,Time(s)
Malaysia,20,3,3.986430511718978,2207.508787676788,1700.276707383453,0.9755401611328125,0.4778885841369629
Malaysia,20,4,3.6308212777524504,2081.9343236168356,1600.8005184319502,0.9782438278198242,0.5114829540252686
Malaysia,20,5,3.9235490505342177,2177.2106489081734,1693.6435053257344,0.9762069582939148,0.9813342094421387
Malaysia,20,6,3.621320179462258,2007.230306524823,1547.2061253948941,0.9797770977020264,2.0116615295410156
Malaysia,20,7,3.147485403691999,1807.9347425066153,1364.4414649504781,0.9835935831069946,4.157233476638794
Malaysia,20,8,3.6564621760712805,1997.1648758512747,1536.0863830899932,0.979979395866394,5.697082042694092
ISO-NE,5,3,2.024789057880375,346.1832752997696,271.6606492006062,0.9711281657218933,0.2487185001373291
ISO-NE,5,4,1.6963781826501982,293.57475908878354,227.48791637316427,0.9792365431785583,0.5135424137115479
ISO-NE,5,5,1.582967134177097,275.87492810510986,212.76451702847507,0.981664776802063,0.5288276672363281
ISO-NE,5,6,1.4226773228111418,249.80266524642397,191.76698645086236,0.9849666357040405,0.5551934242248535
ISO-NE,5,7,1.3663986865936395,245.37665402547512,184.12843064271686,0.9854946136474609,1.2515475749969482
ISO-NE,5,8,1.3374208129132394,242.65950403762523,180.8906256670509,0.985814094543457,2.1632068157196045
ISO-NE,6,3,1.8109689292336277,316.00915332552154,243.188547936945,0.9759418964385986,0.45746612548828125
ISO-NE,6,4,1.6911664423188995,293.2085582837898,226.84346250106728,0.9792883396148682,0.5480704307556152
ISO-NE,6,5,1.5836226609199069,275.89019635219313,212.8003863558743,0.9816627502441406,0.5931811332702637
ISO-NE,6,6,1.427103872249039,250.19672849048308,192.32696499850582,0.9849191904067993,0.6527299880981445
ISO-NE,6,7,1.3765168242796149,246.39907730784068,185.77339547579405,0.9853734970092773,1.481846809387207
ISO-NE,6,8,1.3438201380086618,243.31048129612336,181.86301109439037,0.9857379198074341,2.5548882484436035
