Dataset,n_estimators,max_depth,MAPE,RMSE,Time
Malaysia,17,7,2.981471205740348,1757.7963969904483,5.2337000370025635
Malaysia,17,8,3.0581991428565587,1843.582670092832,6.874390125274658
Malaysia,18,3,4.170566540409919,2317.7068666798887,1.1418275833129883
Malaysia,18,4,3.2886070593739034,1908.2339981542584,0.8700220584869385
Malaysia,18,5,3.1461113807906997,1842.792400899279,1.609290361404419
Malaysia,18,6,2.8798261777532526,1681.4861955647234,2.937612771987915
Malaysia,18,7,3.0901840994227907,1757.6184172278652,4.660371780395508
Malaysia,18,8,3.1159638434418833,1826.4994424732572,8.911753177642822
Malaysia,19,3,4.170631663424477,2317.7242639969645,1.2912206649780273
Malaysia,19,4,3.336061057079922,1903.819088614302,0.8646097183227539
Malaysia,19,5,3.116530301373455,1832.5788383148708,1.6859209537506104
Malaysia,19,6,2.885342387322977,1684.4592714750102,3.1632535457611084
Malaysia,19,7,3.0153124724905433,1776.8331994286716,6.27282977104187
Malaysia,19,8,3.1289369596444088,1829.3539261710814,11.169742107391357
Malaysia,20,3,4.476603801192406,2441.0064743523094,0.734929084777832
Malaysia,20,4,3.30108216025661,1917.1026087450002,1.1877636909484863
Malaysia,20,5,3.1289874422426123,1833.5756316414452,2.143357038497925
Malaysia,20,6,2.88050882647889,1684.9989483398558,3.5833544731140137
Malaysia,20,7,3.0145280458683934,1774.9934767511036,6.135146141052246
Malaysia,20,8,3.136975700910602,1827.4414341008255,9.875316143035889
